j	y	u
1	0.000	0.000
2	0.050	0.057
3	0.100	0.114
4	0.150	0.170
5	0.200	0.225
6	0.250	0.277
7	0.300	0.326
8	0.350	0.373
9	0.400	0.414
10	0.450	0.451
11	0.500	0.481
12	0.550	0.504
13	0.600	0.517
14	0.650	0.519
15	0.700	0.508
16	0.750	0.481
17	0.800	0.436
18	0.850	0.369
19	0.900	0.277
20	0.950	0.156
21	1.000	1.000
