j	y	u
1	0.000	0.000
2	0.050	0.049
3	0.100	0.098
4	0.150	0.148
5	0.200	0.199
6	0.250	0.251
7	0.300	0.305
8	0.350	0.360
9	0.400	0.417
10	0.450	0.476
11	0.500	0.536
12	0.550	0.595
13	0.600	0.652
14	0.650	0.703
15	0.700	0.744
16	0.750	0.766
17	0.800	0.758
18	0.850	0.705
19	0.900	0.584
20	0.950	0.363
21	1.000	1.000
