j	y	u
1	0.000	0.000
2	0.050	0.000
3	0.100	0.000
4	0.150	0.001
5	0.200	0.001
6	0.250	0.003
7	0.300	0.005
8	0.350	0.009
9	0.400	0.015
10	0.450	0.026
11	0.500	0.042
12	0.550	0.067
13	0.600	0.103
14	0.650	0.154
15	0.700	0.221
16	0.750	0.308
17	0.800	0.414
18	0.850	0.540
19	0.900	0.683
20	0.950	0.838
21	1.000	1.000
