j	y	u
1	0.000	0.000
2	0.050	0.050
3	0.100	0.100
4	0.150	0.151
5	0.200	0.201
6	0.250	0.251
7	0.300	0.301
8	0.350	0.350
9	0.400	0.399
10	0.450	0.448
11	0.500	0.496
12	0.550	0.544
13	0.600	0.594
14	0.650	0.648
15	0.700	0.707
16	0.750	0.774
17	0.800	0.843
18	0.850	0.895
19	0.900	0.879
20	0.950	0.670
21	1.000	1.000
