j	y	u
1	0.000	0.000
2	0.050	0.050
3	0.100	0.099
4	0.150	0.149
5	0.200	0.199
6	0.250	0.249
7	0.300	0.299
8	0.350	0.348
9	0.400	0.398
10	0.450	0.448
11	0.500	0.498
12	0.550	0.548
13	0.600	0.598
14	0.650	0.648
15	0.700	0.699
16	0.750	0.749
17	0.800	0.799
18	0.850	0.849
19	0.900	0.899
20	0.950	0.950
21	1.000	1.000
