j	y	u
1	0.000	0.000
2	0.050	0.012
3	0.100	0.024
4	0.150	0.039
5	0.200	0.055
6	0.250	0.074
7	0.300	0.097
8	0.350	0.124
9	0.400	0.157
10	0.450	0.194
11	0.500	0.238
12	0.550	0.289
13	0.600	0.346
14	0.650	0.409
15	0.700	0.479
16	0.750	0.556
17	0.800	0.637
18	0.850	0.724
19	0.900	0.814
20	0.950	0.906
21	1.000	1.000
