j	y	u
1	0.000	0.000
2	0.050	0.000
3	0.100	0.000
4	0.150	0.000
5	0.200	0.000
6	0.250	0.000
7	0.300	0.000
8	0.350	0.000
9	0.400	0.000
10	0.450	0.000
11	0.500	0.000
12	0.550	0.000
13	0.600	0.000
14	0.650	0.000
15	0.700	0.001
16	0.750	0.003
17	0.800	0.010
18	0.850	0.038
19	0.900	0.144
20	0.950	0.536
21	1.000	1.000
